Source class,Source name,L (Jy kpc^2),vW (GHz s)
FRB,FRB 20121102,348220388571.4286,0.005600000000000001
FRB,FRB 20121102,885735000000.0,0.0025600000000000006
FRB,FRB 20121102,314928000000.00006,0.00192
FRB,FRB 20121102,481249349999.99994,0.005120000000000001
FRB,FRB 20121102,566870400000.0,0.00576
FRB,FRB 20121102,686280600000.0001,0.01152
FRB,FRB 20121102,967014211764.7058,0.00272
FRB,FRB 20121102,336579299999.99994,0.0025600000000000006
FRB,FRB 20121102,549692509090.90906,0.0035200000000000006
FRB,FRB 20121102,365030181818.18176,0.0035200000000000006
FRB,FRB 20121102,437584168421.0526,0.00304
FRB,FRB 20121102,253373890909.09085,0.0035200000000000006
FRB,FRB 20121102,1532649600000.0,0.00576
FRB,FRB 20121102,672463905882.3529,0.00272
FRB,FRB 20121102,1813985280000.0,0.004
FRB,FRB 20121102,633005280000.0,0.008
FRB,FRB 20121102,388036285714.2857,0.00448
FRB,FRB 20121102,365030181818.18176,0.0035200000000000006
FRB,FRB 20121102,2747141169230.769,0.006240000000000001
FRB,FRB 20121102,358023410526.3158,0.00304
FRB,FRB 20121102,556925305263.158,0.00304
FRB,FRB 20121102,239148450000.0,0.005120000000000001
FRB,FRB 20121102,294550305882.35297,0.00272
FRB,FRB 20121102,2397651840000.0,0.007200000000000001
FRB,FRB 20121102,1847997504000.0,0.004
FRB,FRB 20121102,549692509090.90906,0.0035200000000000006
FRB,FRB 20121102,608440896000.0,0.008
FRB,FRB 20121102,438036218181.8182,0.0035200000000000006
FRB,FRB 20121102,1139645699999.9998,0.0025600000000000006
FRB,FRB 20121102,377913600000.0,0.00272
FRB,FRB 20121102,346420800000.0,0.00192
FRB,FRB 20121102,250089882352.9412,0.00272
FRB,FRB 20121102,1602025043478.261,0.0032199999999999998
FRB,FRB 20121102,1237992827586.2068,0.004059999999999999
FRB,FRB 20121102,1335729103448.276,0.004059999999999999
FRB,FRB 20121102,1816892307692.3076,0.0036399999999999996
FRB,FRB 20121102,3257875862068.966,0.004059999999999999
FRB,FRB 20121102,1273404521739.1306,0.0032199999999999998
FRB,FRB 20121102,3696980869565.217,0.00966
FRB,FRB 20121102,908446153846.1538,0.007279999999999999
FRB,FRB 20121102,1523845161290.3225,0.00868
FRB,FRB 20121102,1318303255813.9536,0.006019999999999999
FRB,FRB 20121102,1574639999999.9998,0.00504
FRB,FRB 20121102,2197172093023.2559,0.006019999999999999
FRB,FRB 20121102,887524363636.3636,0.004619999999999999
FRB,FRB 20121102,2053878260869.5654,0.0064399999999999995
FRB,FRB 20121102,944784000000.0,0.006019999999999999
FRB,FRB 20121102,2184813000000.0,0.00224
FRB,FRB 20121102,6189964137931.035,0.004059999999999999
FRB,FRB 20121102,1816892307692.3076,0.007279999999999999
FRB,FRB 20121102,2422523076923.077,0.0054600000000000004
FRB,FRB 20121102,1026939130434.7827,0.0064399999999999995
FRB,FRB 20121102,1116562909090.9092,0.004619999999999999
FRB,FRB 20121102,4107756521739.131,0.0032199999999999998
FRB,FRB 20121102,1938018461538.4617,0.0054600000000000004
FRB,FRB 20121102,1312200000000.0,0.00504
FRB,FRB 20121102,1036958048780.4879,0.011479999999999999
FRB,FRB 20121102,2180270769230.769,0.007279999999999999
FRB,FRB 20121102,1098586046511.6279,0.006019999999999999
FRB,FRB 20121102,1437714782608.6958,0.0032199999999999998
FRB,FRB 20121102,1433465379310.345,0.004059999999999999
FRB,FRB 20121102,1816892307692.3076,0.0036399999999999996
FRB,FRB 20121102,26993828571.42857,0.00819
FRB,FRB 20121102,392085360000.0,0.0026000000000000003
FRB,FRB 20121102,173635978378.3784,0.004810000000000001
FRB,FRB 20121102,25194240000.0,0.015600000000000001
FRB,FRB 20121102,427402285714.28564,0.0027300000000000007
FRB,FRB 20121102,139828032000.0,0.0032500000000000003
FRB,FRB 20121102,196903581308.41122,0.01391
FRB,FRB 20121102,316139261538.4615,0.00338
FRB,FRB 20121102,172525773913.0435,0.00299
FRB,FRB 20121102,89979428571.42857,0.005460000000000001
FRB,FRB 20121102,364668964485.9813,0.01391
FRB,FRB 20180916,36473071428.57143,0.00084
FRB,FRB 20180916,7052082352.941177,0.0050999999999999995
FRB,FRB 20180916,40512773722.62773,0.000822
FRB,FRB 20180916,7047936507.936507,0.00378
FRB,FRB 20180916,36328909090.90909,0.00066
FRB,FRB 20180916,93660468750.0,0.00384
FRB,FRB 20180916,24301094594.594593,0.00444
FRB,FRB 20180916,32447615384.615383,0.0007800000000000001
FRB,FRB 20180916,18747511111.11111,0.0026999999999999997
FRB,FRB 20180916,17550197628.4585,0.0015179999999999998
FRB,FRB 20180916,8593935483.870968,0.003162
FRB,FRB 20180916,18500833333.333336,0.000408
FRB,FRB 20180916,8002686046.511628,0.002924
FRB,FRB 20180916,33836463855.421684,0.002822
FRB,FRB 20180916,62902833333.33333,0.00126
FRB,FRB 20180916,92093037037.03703,0.000945
FRB,FRB 20180916,29601333333.333336,0.0013650000000000001
FRB,FRB 20180916,292649545454.5455,0.000847
FRB,FRB 20180916,184317300509.3379,0.0020614999999999995
FRB,FRB 20180916,168607594594.5946,0.001295
FRB,FRB 20180916,115445200000.0,0.000525
FRB,FRB 20180916,53421156250.0,0.00112
FRB,FRB 20180916,8880400000.0,0.0015
FRB,FRB 20180916,87218214285.7143,0.001176
FRB,FRB 20180916,8602887500.0,0.0048
FRB,FRB 20180916,44739657794.67681,0.001578
FRB,FRB 20180916,27134555555.555557,0.00216
FRB,FRB 20180916,24537947368.421055,0.00114
FRB,FRB 20180916,821437000000.0,0.0006
FRB,FRB 20180916,68632123655.91398,0.002232
FRB,FRB 20180916,29240341463.41464,0.0024599999999999995
FRB,FRB 20180916,47249941690.9621,0.002058
FRB,FRB 20180916,291160655737.70496,0.001098
FRB,FRB 20180916,7969589743.589744,0.00468
FRB,FRB 20180916,6094392156.862745,0.00306
FRB,FRB 20180916,16471709677.419353,0.0018599999999999999
FRB,FRB 20180916,12876580000.0,0.003
FRB,FRB 20180916,6871738095.238095,0.00252
FRB,FRB 20180916,41537354838.70968,0.0009299999999999999
FRB,FRB 20180916,29090965517.24138,0.00174
FRB,FRB 20180916,51739618644.067795,0.001416
FRB,FRB 20180916,312771218668.9715,0.0006942000000000001
FRB,FRB 20180916,22501013513.513515,0.000888
FRB,FRB 20180916,45010246575.34247,0.01095
FRB,FRB 20180916,4850638655.462185,0.017849999999999998
FRB,FRB 20180916,15109013888.88889,0.010799999999999999
FRB,FRB 20180916,27540481012.658226,0.0237
FRB,FRB 20180916,13940162790.697674,0.00645
FRB,FRB 20180916,20086619047.61905,0.0063
FRB,FRB 20180916,21945816091.95402,0.013049999999999999
FRB,FRB 20180916,22873757575.757576,0.0099
FRB,FRB 20180916,38851750000.0,0.012
FRB,FRB 20180916,55502500000.0,0.0087
FRB,FRB 20180916,33140623188.405796,0.01035
FRB,FRB 20180916,35196707317.07317,0.006149999999999999
FRB,FRB 20180916,43069940000.0,0.0075
FRB,FRB 20180916,20791412698.412697,0.00945
FRB,FRB 20180916,10264978494.623655,0.013949999999999999
FRB,FRB 20180916,18102353846.153847,0.00975
FRB,FRB 20180916,28730705882.352943,0.00765
FRB,FRB 20180916,119963298245.61403,0.008549999999999999
FRB,FRB 20180916,210256529411.7647,0.0050999999999999995
FRB,FRB 20180916,48102166666.666664,0.0036
FRB,FRB 20180916,18785461538.461536,0.0117
FRB,FRB 20180916,33301500000.0,0.005399999999999999
FRB,FRB 20180916,40324265306.12245,0.0294
FRB,FRB 20180916,76117714285.71428,0.0021000000000000003
FRB,FRB 20180916,13200594594.594595,0.00222
FRB,FRB 20180916,88804000000.0,0.0021000000000000003
FRB,FRB 20180916,38277586206.89655,0.00174
FRB,FRB 20180916,116555250000.0,6.8e-06
FRB,FRB 20180916,111005000000.0,6.8e-06
FRB,FRB 20180916,370016666666.6667,0.000102
FRB,FRB 20180916,44402000000.0,8.5e-05
FRB,FRB 20180916,33301499999.999996,0.00017
FRB,FRB 20180916,44402000000.0,0.0011560000000000001
FRB,FRB 20180916,8593935483.870968,0.003162
FRB,FRB 20180916,18500833333.333336,0.000408
FRB,FRB 20190711,22130357142857.145,0.012902399999999998
FRB,FRB 20190711,10206000000000.0,0.00136
FRB,FRB 20200120E,56081454.54545455,0.00023099999999999998
FRB,FRB 20200120E,7623529.4117647065,0.00030940000000000004
FRB,FRB 20200120E,63327272.727272734,0.00012319999999999999
FRB,FRB 20200120E,14727272.727272727,0.0001848
FRB,FRB 20200120E,8087040000.0,8.75e-08
FRB,FRB 20200120E,4896000000.0,1.26e-07
FRB,FRB 20200120E,4561920000.0,8.75e-08
FRB,FRB 20200120E,216000000.00000003,1.2599999999999998e-05
